,minimum,maximum
R07168__cytop,-1000.0,999.9999999999792
R05549__extr,-1000.0,1000.0
R01829__cytop,-1000.0,1000.0
TR2900125_mitmem__mitmem,-1000.0,1000.0
T_NH4th__chlomem,-1000.0,1000.0
TR2900005_mitmem__mitmem,-1000.0,1000.0
R01063__cytop,-1000.0,1000.0
T_PYDXth__chlomem,-1000.0,1000.0
R00410__cytop,-1000.0,1000.0
R04673__extr,-999.9999999999999,1000.0
TR2000079_chlomem__chlomem,-1000.0,1000.0
TR2900128_mitmem__mitmem,-1000.0,1000.0
R01716__chlo,-1000.0,1000.0
TR0000012_chlomem__chlomem,-1000.0,1000.0
R00590__cytop,-1000.0,999.9999999999703
R10798__cytop,-1000.0,1000.0
R11098__cytop,-1000.0,999.9999999999997
TICO2__cytop,-1000.0,1000.0
R03430__cytop,-1000.0,1000.0
R12185__extr,-1000.0,1000.0
R02865__cytop,-1000.0,1000.0
TR2900126_mitmem__mitmem,-1000.0,1000.0
TR0000009_chlomem__chlomem,-1000.0,1000.0
R01063__chlo,-999.9999999999994,999.9999999999993
R12624__cytop,-1000.0000000000001,1000.0000000000001
R00762__chlo,-1000.0,1000.0
R00228__cytop,-1000.0,1000.0
TR0000048_plasmem__plasmem,-1000.0,1000.0
R01975__cytop,-1000.0,1000.0
R00936__cytop,-1000.0,1000.0
TZ2900022_plasmem__plasmem,-1000.0,1000.0
R02565__chlo,-1000.0,1000.0
R03634__cytop,-1000.0,1000.0
R02739__chlo,-1000.0,1000.0
R10092__extr,-1000.0,1000.0
R03321__extr,-1000.0,1000.0000000000038
R02391__chlo,-1000.0,1000.0
R01326__chlo,-1000.0,1000.0
R01248__cytop,-1000.0,1000.0
R01226__cytop,-1000.0,1000.0
R00867__cytop,-1000.0,1000.0
TR2000089_chlomem__chlomem,-1000.0,1000.0
R10789__cytop,-1000.0,999.9999999999889
R01957__cytop,-1000.0000000000001,1000.0
R11220__cytop,-1000.0,1000.0
TR0003387_plasmem__plasmem,-1000.0,1000.0
R01058__cytop,-1000.0,1000.0
R04444__cytop,-1000.0,1000.0
R02421__cytop,-1000.0,1000.0
R03444__cytop,-1000.0,1000.0000000000005
R03238__cytop,-1000.0,1000.0
R01432__cytop,-1000.0,1000.0
R00230__cytop,-1000.0,1000.0
TR2900071_mitmem__mitmem,-1000.0,1000.0
R09720__cytop,-1000.0,1000.0
R00724__chlo,-1000.0,1000.0
TR2900034_mitmem__mitmem,-1000.0,1000.0
R02297__cytop,-1000.0,1000.0000000000003
R12694__cytop,-999.9999999999999,1000.0
TPhoton__cytop,-1000.0,1000.0
R00760__extr,-1000.0,1000.0
R00527__cytop,-1000.0,1000.0
R00405__mito,-1000.0,1000.0
R12623__extr,-1000.0,1000.0
TR2000102_chlomem__chlomem,-1000.0,1000.0
R01775__chlo,-999.9999999999999,1000.0000000000001
R00258__pero,-999.9999999999999,999.9999999999999
R03291__cytop,-1000.0,1000.0
R09947__extr,-1000.0,1000.0
R04681__er,-1000.0,1000.0
R02778__cytop,-1000.0,1000.0
TR2900066_mitmem__mitmem,-1000.0,1000.0
R00756__cytop,-1000.0,1000.0
R01070__chlo,-1000.0,1000.0
R02850__cytop,-1000.0,1000.0
TR2918355_mitmem__mitmem,-1000.0,1000.0
R00588__cytop,-1000.0,1000.0
R01326__cytop,-1000.0,1000.0
R01359__cytop,-1000.0,1000.0
R03237__cytop,-1000.0,1000.0
R08648__cytop,-1000.000000000001,1000.0000000000008
TR2900033_mitmem__mitmem,-1000.0,1000.0
R01961__cytop,-1000.0,1000.0
R00342__mito,-1000.0,1000.0
R00127__mito,-1000.0,1000.0
TR2900070_mitmem__mitmem,-1000.0,1000.0
R01431__cytop,-1000.0,1000.0
R02353__cytop,-999.9999999999998,999.9999999999981
TR2918354_mitmem__mitmem,-1000.0,1000.0
R00341__cytop,-1000.0,1000.0
TZ2900039_plasmem__plasmem,-500.00000000002433,500.00000000000006
R01095__cytop,-1000.0,999.9999999999994
R02487__cytop,-1000.0,1000.0
R00137__cytop,-1000.0,1000.0
TR2900065_mitmem__mitmem,-1000.0,1000.0
TR2900035_mitmem__mitmem,-1000.0,1000.0
R06985__cytop,-124.99999999999986,1000.0
R02405__cytop,-1000.0,1000.0
R01068__cytop,-1000.0,1000.0
R02411__cytop,-1000.0,1000.0
R00258__cytop,-1000.0,1000.0
TR2900072_mitmem__mitmem,-1000.0,1000.0
R00465__cytop,-1000.0,999.9999999999992
R08648__nuc,-999.9999999999999,1000.0
R00115__cytop,-1000.0,1000.0
R00248__cytop,-1000.0,1000.0
R02406__mito,-1000.0,1000.0000000000001
R01967__cytop,-1000.0000000000001,1000.0
R00876__chlo,-1000.0,1000.0
R01327__cytop,-1000.0,1000.0
R00405__cytop,-1000.0,1000.0
R01224__extr,-1000.0,1000.0
R01194__extr,-1000.0,999.9999999999998
R00755__cytop,-1000.0,1000.0
R01036__cytop,-1000.0,1000.0
R00432__mito,-1000.0,1000.0
R03373__pero,-1000.0000000000001,1000.0
R00801__cytop,-1000.0,1000.0
R01370__cytop,-1000.0,1000.0
R00430__chlo,-1000.0,1000.0
R00369__cytop,-1000.0,1000.0
R00576__cytop,-999.9999999999994,1000.0
R02889__cytop,-1000.0,1000.0
R10391__cytop,-1000.0,1000.0
R08635__cytop,-1000.0,1000.0
R00174__cytop,-1000.0,1000.0000000000273
R01392__cytop,-1000.0,1000.0
R00919__cytop,-1000.0,1000.0
R11216__cytop,-1000.0,1000.0
R03856__cytop,-1000.0000000000002,124.9999999999999
R03026__mito,-1000.0,1000.0
T_H2Otr__ermem,-1000.0,1000.0
TR0000012_plasmem__plasmem,-1000.0,1000.0
TR2900032_mitmem__mitmem,-1000.0,1000.0
TR2918357_mitmem__mitmem,-1000.0,1000.0
R10619__cytop,-1000.0,1000.0
R00216__cytop,-1000.0,1000.0
R00768__cytop,-1000.0,1000.0
TR0000099_plasmem__plasmem,-1000.0,1000.0
R06861__pero,-1000.0,1000.0
R00572__chlo,-1000.0,1000.0
TZ2900025_plasmem__plasmem,-500.0,500.0
R01964__chlo,-1000.0,1000.0
T_COAtm__mitmem,-1000.0,1000.0
TR2918353_mitmem__mitmem,-1000.0,1000.0
R09948__cytop,-1000.0,1000.0
TR2900064_mitmem__mitmem,-1000.0,1000.0
R01896__cytop,-1000.0,1000.0
R03434__cytop,-1000.0000000000003,1000.0
R00765__cytop,-1000.0,1000.0000000000003
R01863__cytop,-1000.0,1000.0
TR0000421_plasmem__plasmem,-1000.0,1000.0
R00835__chlo,-1000.0000000000009,1000.0000000000015
R12252__cytop,-1000.0000000000059,999.9999999999998
R00710__cytop,-1000.0,1000.0
R01330__cytop,-1000.0,1000.0
R00847__cytop,-1000.0,1000.0
R01976__mito,-1000.0,1000.0
R05595__mito,-1000.0,999.9999999999999
R04682__cytop,-1000.0,1000.000000000008
R01758__cytop,-1000.0,1000.0
R00369__mito,-1000.0,1000.0000000000001
R02568__cytop,-1000.0,1000.0
R03237__chlo,-1000.0,1000.0
R00844__cytop,-1000.0,1000.0
R11216__nuc,-1000.0,1000.0
R01101__extr,-1000.0,1000.0
R10799__cytop,-999.9999999999998,999.9999999999998
R02144__extr,-999.9999999999999,1000.0
TR2900031_mitmem__mitmem,-1000.0,1000.0
R10619__extr,-1000.0,1000.0
TR2918401_mitmem__mitmem,-1000.0,1000.0
TR2900068_mitmem__mitmem,-1000.0,1000.0
R00026__cytop,-1000.0,1000.0
R00762__cytop,-1000.0,1000.0
TR2918356_mitmem__mitmem,-1000.0,1000.0
R12252__pero,-1000.0000000000001,999.9999999999972
TR2918358_mitmem__mitmem,-1000.0,1000.0
R00772__cytop,-1000.0,1000.0
R00258__mito,-1000.0,1000.0
R10170__extr,-1000.0,1000.0
R00765__chlo,-1000.0,1000.0
R08615__cytop,-1000.0,1000.0
R00432__cytop,-1000.0,1000.0
R11861__cytop,-1000.0,1000.0
R00769__chlo,-1000.0,1000.0
R00275__cytop,-500.0000000000005,500.00000000000273
R00945__cytop,-1000.0,1000.0
T_SOXtm__mitmem,-1000.0000000000019,1000.0000000006349
R00667__cytop,-1000.0,999.9999999999987
