,minimum,maximum
TZ2900026_plasmem__plasmem,-500.0,500.0
R00306__cytop,-1000.0,1000.0
R02740__cytop,-1000.0,1000.0
R01600__extr,-1000.0,1000.0
R08632__chlo,-999.9999999999999,999.9999999999999
TR1000009_plasmem__plasmem,-1000.0,1000.0
R00332__cytop,-1000.0000000000823,1000.0
R01371__cytop,-999.9999999999998,999.9999999999998
R01665__cytop,-1000.0,1000.0
R12185__cytop,-1000.0,1000.0
R08945__er,-1000.0,1000.0000000000001
TR2900013_mitmem__mitmem,-1000.0,1000.0
R12692__cytop,-1000.0,1000.0
R01518__cytop,-1000.0,1000.0
R12989__cytop,-999.9999999999999,999.9999999999999
R02557__cytop,-999.9999999999995,1000.0
R00112__extr,-1000.0,1000.0
R01224__cytop,-1000.0,1000.0
R04445__chlo,-1000.0,1000.0
R00659__cytop,-1000.0,1000.0
R03239__chlo,-1000.0,1000.0
R01773__cytop,-1000.0,1000.0
R01561__cytop,-1000.0,1000.0
R00751__cytop,-1000.0,1000.0
T_PPIth__chlomem,-1000.0,1000.0
R01969__cytop,-1000.0000000000003,1000.0000000000003
R02089__cytop,-999.9999999999997,1000.0
R10392__cytop,-1000.0000000000001,1000.0000000000001
R01057__cytop,-1000.0,1000.0
R05595__cytop,-999.9999999999999,999.9999999999999
R01775__extr,-1000.0,1000.0
R00802__extr,-1000.0,1000.0
R09950__cytop,-1000.0,1000.0
R03105__cytop,-1000.0,999.9999999999999
TR2900010_mitmem__mitmem,-1000.0,1000.0
TR0000239_plasmem__plasmem,-1000.0,1000.0
R03004__cytop,-1000.0,1000.0
R00727__mito,-1000.0,1000.0
T_H2Oth__chlomem__chlomem,-1000.0,1000.0
R10170__cytop,-1000.0,1000.0
R06863__pero,-1000.0,1000.0
R00806__extr,-1000.0,1000.0
R02073__cytop,-1000.0,1000.0
R10991__mito,-1000.0,1000.0
R03478__cytop,-1000.0000000000001,1000.0
R01041__cytop,-1000.0,1000.0
R01956__cytop,-1000.0,1000.0
R05549__cytop,-999.9999999999998,1000.0
R11218__cytop,-1000.0,1000.0
TR2900012_mitmem__mitmem,-1000.0,1000.0
R04445__cytop,-1000.000000000005,1000.0
R03635__cytop,-1000.0,1000.0
R00806__cytop,-1000.0,1000.0
R03239__cytop,-1000.0,1000.0
T_GLUth__chlomem,-999.9999999999984,1000.0
R00292__chlo,-1000.0,999.9999999999999
R11386__extr,-1000.0,1000.0
TO0000254_CHLOMEM__chlomem,-1000.0,1000.0
TR2400009_mitmem__mitmem,-1000.0,1000.0
TZ2900038_plasmem__plasmem,-1000.0,1000.0
TR2918376_mitmem__mitmem,-1000.0,1000.0
R00512__cytop,-1000.0,1000.0
R05801__cytop,-1000.0,1000.0
R00744__cytop,-1000.0,1000.0
R03236__cytop,-1000.0,1000.0
R08198__cytop,-1000.0,999.9999999999985
R07140__cytop,-1000.0,1000.0
R08980__cytop,-999.9999999999998,1000.0000000000011
R00342__cytop,-1000.0,1000.0
R00479__cytop,-1000.0,1000.0
R02868__chlo,-1000.0,1000.0
T_NADHtr__ermem,-1000.0000000002025,1000.0000000000011
R04556__cytop,-1000.0,1000.0
R10092__chlo,-1000.0,1000.0
R01381__cytop,-1000.0000000000001,1000.0000000000005
R11892__cytop,-1000.0,1000.0
R11385__cytop,-1000.0,1000.0
R11382__extr,-1000.0,1000.0
R01068__chlo,-1000.0000000000002,1000.0000000000005
